Country of origin,Hazard,Frequency of identity and physical checks (%),CN code / TARIC,Intended use,Product
Nigeria (NG),Aflatoxins,50,ex 1207 70 00 10 ; ex 1208 90 00 10 ; ex 2008 99 99 50,Food,"Watermelon (Egusi, Citrullus spp.) seeds and derived products "
Pakistan (PK),Pesticide residues,20,ex 0709 60 99 20 ; ex 0710 80 59 20,"Food – fresh, chilled or frozen",Peppers of the Capsicum species (other than sweet) 
Sudan (SD),Aflatoxins,50,1202 41 00,Food and feed,"Groundnuts (peanuts), in shell"
Sudan (SD),Aflatoxins,50,1202 42 00,Food and feed,"Groundnuts (peanuts), shelled"
Sudan (SD),Aflatoxins,50,2008 11 10,Food and feed,Peanut butter
Sudan (SD),Aflatoxins,50,2008 11 91 ; 2008 11 96 ; 2008 11 98,Food and feed,"Groundnuts (peanuts), otherwise prepared or preserved"
Sudan (SD),Aflatoxins,50,2305 00 00,Food and feed,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
Sudan (SD),Aflatoxins,50,ex 1208 90 00 20,Food and feed,Groundnut flours and meals 
Sudan (SD),Salmonella,20,1207 40 90,Food,Sesamum seeds 
Turkey (TR),Aflatoxins,20,0804 20 90,Food,Dried figs
Turkey (TR),Aflatoxins,20,ex 0813 50 99 50,Food,Mixtures of nuts or dried fruits containing figs
Turkey (TR),Aflatoxins,20,"ex 2007 10 10 50 ; ex 2007 10 99 20 ; ex 2007 99 39 01, 02 ; ex 2007 99 50 31 ; ex 2007 99 97 21",Food,Dried fig paste
Turkey (TR),Aflatoxins,20,ex 2008 97 12 11 ; ex 2008 97 14 11 ; ex 2008 97 16 11 ; ex 2008 97 18 11 ; ex 2008 97 32 11 ; ex 2008 97 34 11 ; ex 2008 97 36 11 ; ex 2008 97 38 11 ; ex 2008 97 51 11 ; ex 2008 97 59 11 ; ex 2008 97 72 11 ; ex 2008 97 74 11 ; ex 2008 97 76 11 ; ex 2008 97 78 11 ; ex 2008 97 92 11 ; ex 2008 97 93 11 ; ex 2008 97 94 11 ; ex 2008 97 96 11 ; ex 2008 97 97 11 ; ex 2008 97 98 11 ; ex 2008 99 28 10 ; ex 2008 99 34 10 ; ex 2008 99 37 10 ; ex 2008 99 40 10 ; ex 2008 99 49 60 ; ex 2008 99 67 95 ; ex 2008 99 99 60,Food,"Dried figs, prepared or preserved, including mixtures"
Turkey (TR),Aflatoxins,20,ex 1106 30 90 60,Food,"Flour, meal or powder of dried figs "
Turkey (TR),Aflatoxins,5,0802 21 00,Food,Hazelnuts (Corylus sp.) in shell
Turkey (TR),Aflatoxins,5,0802 22 00,Food,Hazelnuts (Corylus sp.) shelled
Turkey (TR),Aflatoxins,5,ex 0813 50 39 70 ; ex 0813 50 91 70 ; ex 0813 50 99 70,Food,Mixtures of nuts or dried fruits containing hazelnuts
Turkey (TR),Aflatoxins,5,"ex 2007 10 10 70 ; ex 2007 10 99 40 ; ex 2007 99 39 05, 06 ; ex 2007 99 50 33 ; ex 2007 99 97 23",Food,Hazelnut paste
Turkey (TR),Aflatoxins,5,ex 2008 19 12 30 ; ex 2008 19 19 30 ; ex 2008 19 92 30 ; ex 2008 19 95 20 ; ex 2008 19 99 30 ; ex 2008 97 12 15 ; ex 2008 97 14 15 ; ex 2008 97 16 15 ; ex 2008 97 18 15 ; ex 2008 97 32 15 ; ex 2008 97 34 15 ; ex 2008 97 36 15 ; ex 2008 97 38 15 ; ex 2008 97 51 15 ; ex 2008 97 59 15 ; ex 2008 97 72 15 ; ex 2008 97 74 15 ; ex 2008 97 76 15 ; ex 2008 97 78 15 ; ex 2008 97 92 15 ; ex 2008 97 93 15 ; ex 2008 97 94 15 ; ex 2008 97 96 15 ; ex 2008 97 97 15 ; ex 2008 97 98 15,Food,"Hazelnuts, otherwise prepared or preserved, including mixtures"
Turkey (TR),Aflatoxins,5,ex 1106 30 90 40,Food,"Flour, meal and powder of hazelnuts"
Turkey (TR),Aflatoxins,5,ex 1515 90 99 20,Food,Hazelnut oil 
Turkey (TR),Aflatoxins,50,0802 51 00,Food,"Pistachios, in shell"
Turkey (TR),Aflatoxins,50,0802 52 00,Food,"Pistachios, shelled"
Turkey (TR),Aflatoxins,50,ex 0813 50 39 60 ; ex 0813 50 91 60 ; ex 0813 50 99 60,Food,Mixtures of nuts or dried fruits containing pistachios
Turkey (TR),Aflatoxins,50,ex 2007 10 10 60 ; ex 2007 10 99 30,Food,Pistachio paste
Turkey (TR),Aflatoxins,50,"ex 2007 99 39 03, 04 ; ex 2007 99 50 32 ; ex 2007 99 97 22 ; ex 2008 19 13 20 ; ex 2008 19 93 20 ; ex 2008 97 12 19 ; ex 2008 97 14 19 ; ex 2008 97 16 19 ; ex 2008 97 18 19 ; ex 2008 97 32 19 ; ex 2008 97 34 19 ; ex 2008 97 36 19 ; ex 2008 97 38 19 ; ex 2008 97 51 19 ; ex 2008 97 59 19 ; ex 2008 97 72 19 ; ex 2008 97 74 19 ; ex 2008 97 76 19 ; ex 2008 97 78 19 ; ex 2008 97 92 19 ; ex 2008 97 93 19 ; ex 2008 97 94 19 ; ex 2008 97 96 19 ; ex 2008 97 97 19 ; ex 2008 97 98 19",Food,"Pistachios, prepared or preserved, including mixtures"
Turkey (TR),Aflatoxins,50,ex 1106 30 90 50,Food,"Flour, meal and powder of pistachios "
Turkey (TR),Pesticide residues,20,"ex 2008 99 99 11, 19",Food,Vine leaves 
Uganda (UG),Salmonella,20,1207 40 90,Food,Sesamum seeds 
Vietnam (VN),Pesticide residues,10,ex 0810 90 20 10,Food – fresh or chilled,Pitahaya (dragon fruit) 
